Date,Product,Category,Region,Sales_Rep,Units_Sold,Revenue,Cost,Profit,Customer_Type,Discount_Percent,Quarter,Month,Year
2024-04-10,Sit-Stand Desk,Furniture,Europe,David Wilson,25,37500,22500,15000,SMB,11,Q2,April,2024
2024-05-01,Server Rack,Electronics,Asia Pacific,Emily Wang,8,40000,24000,16000,Enterprise,2,Q2,May,2024
2024-05-02,Reception Desk,Furniture,North America,John Smith,10,25000,15000,10000,Enterprise,14,Q2,May,2024
2024-05-03,Security Camera,Electronics,Europe,Sarah Jones,85,17000,10200,6800,SMB,7,Q2,May,2024
2024-05-04,Modular Sofa,Furniture,Asia Pacific,Mike Chen,16,32000,19200,12800,Enterprise,9,Q2,May,2024
2024-05-05,Smart TV 55,Electronics,North America,Lisa Brown,45,67500,40500,27000,Consumer,5,Q2,May,2024
2024-05-06,Bar Stool Set,Furniture,Europe,David Wilson,24,7200,4320,2880,Consumer,17,Q2,May,2024
2024-05-07,Router Enterprise,Electronics,Asia Pacific,Emily Wang,55,27500,16500,11000,Enterprise,4,Q2,May,2024
2024-05-08,Wall Shelf Unit,Furniture,North America,John Smith,40,8000,4800,3200,Consumer,15,Q2,May,2024
2024-05-09,Projector 4K,Electronics,Europe,Sarah Jones,30,45000,27000,18000,SMB,6,Q2,May,2024
2024-05-10,Dining Set,Furniture,Asia Pacific,Mike Chen,12,36000,21600,14400,Consumer,8,Q2,May,2024
2024-06-01,Workstation Mobile,Electronics,North America,Lisa Brown,20,50000,30000,20000,Enterprise,3,Q2,June,2024
2024-06-02,Garden Furniture,Furniture,Europe,David Wilson,18,27000,16200,10800,Consumer,12,Q2,June,2024
2024-06-03,Gaming Console,Electronics,Asia Pacific,Emily Wang,75,37500,22500,15000,Consumer,7,Q2,June,2024
2024-06-04,Bean Bag Chair,Furniture,North America,John Smith,35,7000,4200,2800,Consumer,18,Q2,June,2024
2024-06-05,Smart Home Hub,Electronics,Europe,Sarah Jones,90,18000,10800,7200,Consumer,10,Q2,June,2024
2024-06-06,Picnic Table,Furniture,Asia Pacific,Mike Chen,20,10000,6000,4000,Consumer,16,Q2,June,2024
2024-06-07,E-Reader Pro,Electronics,North America,Lisa Brown,110,27500,16500,11000,Consumer,8,Q2,June,2024
2024-06-08,Hammock Stand,Furniture,Europe,David Wilson,25,12500,7500,5000,Consumer,14,Q2,June,2024
2024-06-09,Dash Camera,Electronics,Asia Pacific,Emily Wang,95,14250,8550,5700,Consumer,11,Q2,June,2024
2024-06-10,Patio Set,Furniture,North America,John Smith,15,22500,13500,9000,Consumer,9,Q2,June,2024
